,humidity,temp,clouds,wind_speed,longitude,latitude
Abalak,86,42.4,0,12.75,147.33,-42.88
Abha,66,56.03,0,15.59,173.16,-35.17
Abonnema,78,81.05,85,7.07,96.13,4.14
Acapulco,93,51.17,75,11.41,18.42,-33.93
Adrar,47,50.58,25,32.19,115.35,-33.64
Ahipara,70,46.4,20,5.82,-65.72,66.15
Airai,94,72.66,75,13.87,57.76,-20.34
Aketi,65,75.92,75,13.87,-73.48,45.36
Aklavik,70,87.8,20,6.93,-99.88,16.86
Aksu,81,74.39,44,11.18,-134.97,-23.12
Aktau,78,82.4,40,6.93,-58.16,6.8
Albany,41,75.2,75,14.99,-86.95,49.72
Alekseyevka,72,65.03,0,1.03,-6.55,41.42
Alghero,97,67.73,0,2.73,-37.61,-11.81
Alice Springs,88,77.0,90,1.12,118.73,9.87
Aljezur,67,63.52,75,19.46,-114.38,62.45
Almaznyy,37,59.27,45,10.49,166.44,68.06
Alta Floresta,80,30.11,0,8.05,-70.91,-53.16
Altay,45,76.59,75,10.29,-73.75,42.65
Alyangula,87,58.37,0,4.05,20.71,41.28
Amazar,42,79.25,47,4.29,24.66,14.2
Ambilobe,84,78.53,51,22.17,132.75,-5.67
Ambon,79,28.4,90,23.04,-68.31,-54.81
Amethi,56,68.88,1,14.99,-120.46,34.64
Ampanihy,87,53.6,90,11.18,-173.23,64.42
Ancud,93,46.4,90,11.41,-73.76,-42.48
Annau,96,70.79,100,4.41,106.5,31.15
Aras,34,80.83,75,3.36,-128.61,54.52
Arenapolis,94,33.71,100,17.11,80.55,73.51
Arman,33,50.81,99,21.47,-60.23,-38.31
Arraial do Cabo,53,67.55,61,3.24,-110.26,52.35
Aswan,78,75.2,75,25.28,-22.92,16.18
Atar,97,73.85,99,2.04,93.87,26.3
Athabasca,87,48.2,75,2.24,158.65,53.05
Atuona,91,53.35,0,7.0,19.24,-34.42
Avarua,87,63.23,12,14.61,-78.15,-10.07
Avera,84,65.21,0,11.52,45.06,-25.17
Avrille,83,75.2,0,4.7,-41.05,-21.64
Bacungan,58,73.67,9,3.36,125.41,-8.93
Bafoulabe,72,84.11,58,8.81,73.08,-0.6
Bahir Dar,93,51.28,0,2.24,20.04,-34.53
Baiyin,86,42.31,0,12.75,147.26,-43.03
Bambanglipuro,80,51.01,30,8.48,168.86,-46.19
Bambous Virieux,22,78.35,0,4.88,42.47,37.25
Baoro,12,85.57,40,19.46,-104.67,23.99
Baoshan,75,52.97,91,4.07,179.32,63.05
Barpathar,80,39.2,90,18.34,-133.03,69.44
Barrow,77,71.28,1,4.7,-70.1,41.28
Basco,94,77.0,75,18.32,-10.05,5.88
Batagay-Alyta,30,81.36,0,16.11,-2.36,42.56
Bathsheba,71,46.81,20,5.82,-52.73,47.66
Bay City,60,75.13,0,5.82,2.01,41.57
Baykit,17,74.34,0,3.36,42.5,18.22
Bayreuth,87,59.81,100,2.37,142.37,42.33
Belaya Gora,72,83.21,99,4.43,125.46,5.4
Belfast,65,68.09,10,25.19,149.07,-23.58
Belmonte,32,65.57,0,13.65,147.9,70.62
Beloha,42,40.37,0,5.44,22.13,-30.97
